Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
KMT-2017-BLG-0428L,K0 V,0.94,Hydrogen,KMT-2017-BLG-0428L,S
KMT-2017-BLG-0673L,G0 V,1.19,Hydrogen,KMT-2017-BLG-0673L,S
KMT-2017-BLG-1003L,K1.5 V,0.8,Hydrogen,KMT-2017-BLG-1003L,S
KMT-2017-BLG-1038L,F8,1.38,Hydrogen,KMT-2017-BLG-1038L,S
KMT-2017-BLG-1146L,,0.78,Hydrogen,KMT-2017-BLG-1146L,S
KMT-2017-BLG-1194L,F8,1.46,Hydrogen,KMT-2017-BLG-1194L,S
KMT-2017-BLG-2509L,G1 V,1.05,Hydrogen,KMT-2017-BLG-2509L,S
KMT-2018-BLG-0029L,G1 V,1.05,Hydrogen,KMT-2018-BLG-0029L,S
KMT-2018-BLG-0030L,F7 V,1.88,Hydrogen,KMT-2018-BLG-0030L,S
KMT-2018-BLG-0087L,G1V,1.24,Hydrogen,KMT-2018-BLG-0087L,S
KMT-2018-BLG-0247L,F5,1.5,Hydrogen,KMT-2018-BLG-0247L,S
KMT-2018-BLG-0748L,K1 III,8.8,Hydrogen,KMT-2018-BLG-0748L,S
KMT-2018-BLG-0885L,G,1.55,Hydrogen,KMT-2018-BLG-0885L,S
KMT-2018-BLG-1025L,K0,0.8,Hydrogen,KMT-2018-BLG-1025L,S
KMT-2018-BLG-1292L,,1.03,Hydrogen,KMT-2018-BLG-1292L,S
KMT-2018-BLG-1743L,G5,2.2,Hydrogen,KMT-2018-BLG-1743L,S
KMT-2018-BLG-1976L,G2 V,1.54,Hydrogen,KMT-2018-BLG-1976L,S
KMT-2018-BLG-1988L,G0 V,1.1,Hydrogen,KMT-2018-BLG-1988L,S
KMT-2018-BLG-1990L,G5,1.66,Hydrogen,KMT-2018-BLG-1990L,S
KMT-2018-BLG-1996L,F7 V,2.13,Hydrogen,KMT-2018-BLG-1996L,S
KMT-2018-BLG-2602L,F7 V,1.29,Hydrogen,KMT-2018-BLG-2602L,S
KMT-2019-BLG-0253L,G5V,0.92,Hydrogen,KMT-2019-BLG-0253L,S
KMT-2019-BLG-0297L,G8 IV,1.67,Hydrogen,KMT-2019-BLG-0297L,S
KMT-2019-BLG-0298L,G6 V,1.14,Hydrogen,KMT-2019-BLG-0298L,S
KMT-2019-BLG-0335L,G6 V,1.14,Hydrogen,KMT-2019-BLG-0335L,S
KMT-2019-BLG-0371L,K3 V,0.85,Hydrogen,KMT-2019-BLG-0371L,S
KMT-2019-BLG-0414L,,0.91,Hydrogen,KMT-2019-BLG-0414L,S
KMT-2019-BLG-0842L,,0.91,Hydrogen,KMT-2019-BLG-0842L,S
KMT-2019-BLG-0953L,G2/G3 V,1.18,Hydrogen,KMT-2019-BLG-0953L,S
KMT-2019-BLG-1042L,G2/G3 V,1.18,Hydrogen,KMT-2019-BLG-1042L,S
KMT-2019-BLG-1216L,G2/G3 V,1.18,Hydrogen,KMT-2019-BLG-1216L,S
KMT-2019-BLG-1339L,G0 V,1.03,Hydrogen,KMT-2019-BLG-1339L,S
KMT-2019-BLG-1367L,G0 V,1.03,Hydrogen,KMT-2019-BLG-1367L,S
KMT-2019-BLG-1552L,G5 V,1,Hydrogen,KMT-2019-BLG-1552L,S
KMT-2019-BLG-1715L,G5 V,1,Hydrogen,KMT-2019-BLG-1715L,S
KMT-2019-BLG-1806L,G3/G5 V,1.9,Hydrogen,KMT-2019-BLG-1806L,S
KMT-2019-BLG-1953L,K0,4.2,Hydrogen,KMT-2019-BLG-1953L,S
KMT-2019-BLG-2783L,A8 III,1.49,Hydrogen,KMT-2019-BLG-2783L,S
KMT-2019-BLG-2974L,G8/K0 IV,5.08,Hydrogen,KMT-2019-BLG-2974L,S
KMT-2020-BLG-0414L,G8/K0 IV,5.08,Hydrogen,KMT-2020-BLG-0414L,S
KMT-2021-BLG-0119L,K0.5 V,0.87,Hydrogen,KMT-2021-BLG-0119L,S
KMT-2021-BLG-0171L,G0,1.09,Hydrogen,KMT-2021-BLG-0171L,S
KMT-2021-BLG-0192L,M1.5 V,0.37,Hydrogen,KMT-2021-BLG-0192L,S
KMT-2021-BLG-0240L,K0 V,0.84,Hydrogen,KMT-2021-BLG-0240L,S
KMT-2021-BLG-0320L,G6 V,4.75,Hydrogen,KMT-2021-BLG-0320L,S
KMT-2021-BLG-0322L,K2 III,51.1,Hydrogen,KMT-2021-BLG-0322L,S
KMT-2021-BLG-0712L,G5,1.94,Hydrogen,KMT-2021-BLG-0712L,S
KMT-2021-BLG-0748L,G0 V,1.16,Hydrogen,KMT-2021-BLG-0748L,S
KMT-2021-BLG-0909L,G0 V,1.16,Hydrogen,KMT-2021-BLG-0909L,S
KMT-2021-BLG-0912L,G0 V,1.16,Hydrogen,KMT-2021-BLG-0912L,S
KMT-2021-BLG-1077L,K0,7.43,Hydrogen,KMT-2021-BLG-1077L,S
KMT-2021-BLG-1105L,Be9.5/AO,2.25,Hydrogen,KMT-2021-BLG-1105L,S
KMT-2021-BLG-1150L,K1 V,0.73,Hydrogen,KMT-2021-BLG-1150L,S
KMT-2021-BLG-1253L,K0 III/IV,4.6,Hydrogen,KMT-2021-BLG-1253L,S
KMT-2021-BLG-1303L,G3/G5 V,1.01,Hydrogen,KMT-2021-BLG-1303L,S
KMT-2021-BLG-1372L,G5,0.93,Hydrogen,KMT-2021-BLG-1372L,S
KMT-2021-BLG-1391L,G8/K0 IV,0.98,Hydrogen,KMT-2021-BLG-1391L,S
KMT-2021-BLG-1547L,K0 III,11.21,Hydrogen,KMT-2021-BLG-1547L,S
KMT-2021-BLG-1554L,K2 V,0.82,Hydrogen,KMT-2021-BLG-1554L,S
KMT-2021-BLG-1689L,K2 V,0.82,Hydrogen,KMT-2021-BLG-1689L,S
KMT-2021-BLG-1770L,K0,5.52,Hydrogen,KMT-2021-BLG-1770L,S
KMT-2021-BLG-1898L,K0,5.4,Hydrogen,KMT-2021-BLG-1898L,S
KMT-2021-BLG-2010L,K2 III,10.31,Hydrogen,KMT-2021-BLG-2010L,S
KMT-2021-BLG-2294L,M0 V,0.51,Hydrogen,KMT-2021-BLG-2294L,S
KMT-2021-BLG-2478L,K1 III,11.6,Hydrogen,KMT-2021-BLG-2478L,S
KMT-2021-BLG-2609L,G5,0.83,Hydrogen,KMT-2021-BLG-2609L,S
KMT-2022-BLG-0303L,G5,0.97,Hydrogen,KMT-2022-BLG-0303L,S
KMT-2022-BLG-0371L,,0.74,Hydrogen,KMT-2022-BLG-0371L,S
KMT-2022-BLG-0440L,,0.74,Hydrogen,KMT-2022-BLG-0440L,S
KMT-2022-BLG-1013L,K0 III,5.27,Hydrogen,KMT-2022-BLG-1013L,S
KMT-2022-BLG-2286L,K1,0.76,Hydrogen,KMT-2022-BLG-2286L,S
KMT-2023-BLG-0416L,M0,0.65,Hydrogen,KMT-2023-BLG-0416L,S
KMT-2023-BLG-0469L,G5,1.07,Hydrogen,KMT-2023-BLG-0469L,S
KMT-2023-BLG-0735L,G5,1.07,Hydrogen,KMT-2023-BLG-0735L,S
KMT-2023-BLG-1431L,G5,1.07,Hydrogen,KMT-2023-BLG-1431L,S
KMT-2023-BLG-1454L,,0.77,Hydrogen,KMT-2023-BLG-1454L,S
KMT-2023-BLG-1642L,F5 V,1.59,Hydrogen,KMT-2023-BLG-1642L,S
KMT-2023-BLG-1743L,,0.98,Hydrogen,KMT-2023-BLG-1743L,S
KMT-2023-BLG-1866L,,0.98,Hydrogen,KMT-2023-BLG-1866L,S
KMT-2024-BLG-1044L,K7 V,0.62,Hydrogen,KMT-2024-BLG-1044L,S
KOI-12,K2 V,0.77,Hydrogen,KOI-12,S
KOI-1257,,0.7,Hydrogen,KOI-1257,S
KOI-13,M0,0.63,Hydrogen,KOI-13,S
KOI-142,M0,0.63,Hydrogen,KOI-142,S
KOI-1599,F6,1.35,Hydrogen,KOI-1599,S
KOI-1783,F6,1.35,Hydrogen,KOI-1783,S
Kepler-324,F6,1.35,Hydrogen,Kepler-324,S
Kepler-968,K7V,0.6,Hydrogen,Kepler-968,S
KOI-217,M0.5 Ve,0.6,Hydrogen,KOI-217,S
KOI-2513,,0.75,Hydrogen,KOI-2513,S
KOI-3503,,0.75,Hydrogen,KOI-3503,S
KOI-351,K5 V,0.56,Hydrogen,KOI-351,S
KOI-3680,K6 V,0.75,Hydrogen,KOI-3680,S
KOI-4777,G8,10.28,Hydrogen,KOI-4777,S
KOI-4978,K4 V,0.72,Hydrogen,KOI-4978,S
KOI-55,K0,0.95,Hydrogen,KOI-55,S
KOI-7368,A2 V,1.77,Hydrogen,KOI-7368,S
KOI-7913,K0 III,8.93,Hydrogen,KOI-7913 A,S
KOI-94,,0.69,Hydrogen,KOI-94,S
KOI-984,K0 III,5.95,Hydrogen,KOI-984,S
KPS-1,K7 V,0.63,Hydrogen,KPS-1,S
Kapteyn,M1,0.68,Hydrogen,Kapteyn,S
Kepler-10,K1 III,5.77,Hydrogen,Kepler-10,S
Kepler-100,B9 V,2.11,Hydrogen,Kepler-100,S
Kepler-1000,,0.96,Hydrogen,Kepler-1000,S
Kepler-1001,,0.96,Hydrogen,Kepler-1001,S
Kepler-1002,K5 V,,Hydrogen,Kepler-1002,S
Kepler-1003,K1 III,3.94,Hydrogen,Kepler-1003,S
Kepler-1004,G5 V,0.89,Hydrogen,Kepler-1004,S
Kepler-1005,G V,1.08,Hydrogen,Kepler-1005,S
Kepler-1006,,0.69,Hydrogen,Kepler-1006,S
Kepler-1007,,0.96,Hydrogen,Kepler-1007,S
Kepler-1008,,0.96,Hydrogen,Kepler-1008,S
Kepler-1009,K0 V,0.84,Hydrogen,Kepler-1009,S
Kepler-101,K0 V,0.84,Hydrogen,Kepler-101,S
Kepler-1010,A5-A6,1.94,Hydrogen,Kepler-1010,S
Kepler-1011,M4.0 V,0.3,Hydrogen,Kepler-1011,S
Kepler-1012,G0 V,1.01,Hydrogen,Kepler-1012,S
Kepler-1013,F5 V,1.47,Hydrogen,Kepler-1013,S
Kepler-1014,G0 V,1.53,Hydrogen,Kepler-1014,S
Kepler-1015,G0V,1.13,Hydrogen,Kepler-1015,S
Kepler-1016,F6 V,1.31,Hydrogen,Kepler-1016,S
Kepler-1017,F6 V,1.31,Hydrogen,Kepler-1017,S
Kepler-1018,A5 V,1.49,Hydrogen,Kepler-1018,S
Kepler-1019,A5 V,1.49,Hydrogen,Kepler-1019,S
Kepler-102,A5 V,1.49,Hydrogen,Kepler-102,S
Kepler-1020,,10.27,Hydrogen,Kepler-1020,S
Kepler-1021,,1.45,Hydrogen,Kepler-1021,S
Kepler-1022,,,Hydrogen,Kepler-1022,S
Kepler-1023,F9,0.98,Hydrogen,Kepler-1023,S
Kepler-1024,G0 V,1.24,Hydrogen,Kepler-1024,S
Kepler-1025,K3,0.76,Hydrogen,Kepler-1025,S
Kepler-1026,K5,0.71,Hydrogen,Kepler-1026,S
Kepler-561,M2.5e,0.48,Hydrogen,Kepler-561,S
Kepler-562,K1,0.97,Hydrogen,Kepler-562,S
Kepler-563,F9 IV,1.81,Hydrogen,Kepler-563,S
Kepler-564,,1.76,Hydrogen,Kepler-564,S
Kepler-565,G8,5.15,Hydrogen,Kepler-565,S
Kepler-566,K3 V,0.71,Hydrogen,Kepler-566,S
Kepler-567,G2,1.25,Hydrogen,Kepler-567,S
Kepler-568,G2,1.25,Hydrogen,Kepler-568,S
Kepler-569,G,1.24,Hydrogen,Kepler-569,S
Kepler-57,,0.87,Hydrogen,Kepler-57,S
Kepler-570,,0.67,Hydrogen,Kepler-570,S
Kepler-571,M1.0 V,0.51,Hydrogen,Kepler-571,S
Kepler-572,M1.0 V,0.51,Hydrogen,Kepler-572,S
Kepler-573,,0.73,Hydrogen,Kepler-573,S
Kepler-574,,0.71,Hydrogen,Kepler-574,S
Kepler-575,F9,1.12,Hydrogen,Kepler-575,S
Kepler-576,,0.67,Hydrogen,Kepler-576,S
Kepler-577,M0,0.59,Hydrogen,Kepler-577,S
Kepler-578,,0.59,Hydrogen,Kepler-578,S
Kepler-579,,0.39,Hydrogen,Kepler-579,S
Kepler-58,,0.4,Hydrogen,Kepler-58,S
Kepler-580,,0.36,Hydrogen,Kepler-580,S
Kepler-581,G3,0.78,Hydrogen,Kepler-581,S
Kepler-582,,0.74,Hydrogen,Kepler-582,S
Kepler-583,,0.76,Hydrogen,Kepler-583,S
Kepler-584,,3.85,Hydrogen,Kepler-584,S
Kepler-585,M1.5 V,0.46,Hydrogen,Kepler-585,S
Kepler-586,M1.5 V,0.46,Hydrogen,Kepler-586,S
Kepler-587,M1.5 V,0.46,Hydrogen,Kepler-587,S
Kepler-588,M1.5 V,0.46,Hydrogen,Kepler-588,S
Kepler-589,K5.5,0.68,Hydrogen,Kepler-589,S
Kepler-59,K5.5,0.68,Hydrogen,Kepler-59,S
Kepler-590,G8 V,0.86,Hydrogen,Kepler-590,S
Kepler-591,G8 V,0.86,Hydrogen,Kepler-591,S
Kepler-592,G8 V,0.86,Hydrogen,Kepler-592,S
Kepler-593,G8 V,0.86,Hydrogen,Kepler-593,S
Kepler-594,G8 V,0.86,Hydrogen,Kepler-594,S
Kepler-595,G8 V,0.86,Hydrogen,Kepler-595,S
Kepler-596,M0,0.45,Hydrogen,Kepler-596,S
Kepler-597,G6 V,1.06,Hydrogen,Kepler-597,S
Kepler-598,K7 V,0.68,Hydrogen,Kepler-598,S
Kepler-599,M3.0 V,0.33,Hydrogen,Kepler-599,S
Kepler-6,M3.0 V,0.33,Hydrogen,Kepler-6,S
Kepler-60,,0.57,Hydrogen,Kepler-60,S
Kepler-600,,0.63,Hydrogen,Kepler-600,S
Kepler-601,M1.0 V,0.57,Hydrogen,Kepler-601,S
Kepler-602,G8,0.68,Hydrogen,Kepler-602,S
Kepler-603,M2.5 V,0.44,Hydrogen,Kepler-603,S
Kepler-604,M3.0 V,0.53,Hydrogen,Kepler-604,S
Kepler-605,M0.0 V,0.63,Hydrogen,Kepler-605,S
Kepler-606,K7,0.58,Hydrogen,Kepler-606,S
Kepler-607,K7,0.58,Hydrogen,Kepler-607,S
Kepler-608,,0.62,Hydrogen,Kepler-608,S
Kepler-609,,0.88,Hydrogen,Kepler-609,S
Kepler-61,,0.95,Hydrogen,Kepler-61,S
Kepler-610,,0.95,Hydrogen,Kepler-610,S
Kepler-611,K3 V,0.66,Hydrogen,Kepler-611,S
Kepler-612,K3 V,0.66,Hydrogen,Kepler-612,S
Kepler-613,,0.91,Hydrogen,Kepler-613,S
Kepler-614,,2.57,Hydrogen,Kepler-614,S
Kepler-615,,0.69,Hydrogen,Kepler-615,S
Kepler-616,,0.76,Hydrogen,Kepler-616,S
Kepler-617,,0.8,Hydrogen,Kepler-617,S
Kepler-618,,0.8,Hydrogen,Kepler-618,S
Kepler-619,,1.61,Hydrogen,Kepler-619,S
Kepler-62,,0.92,Hydrogen,Kepler-62,S
Kepler-620,,0.87,Hydrogen,Kepler-620,S
Kepler-621,,0.87,Hydrogen,Kepler-621,S
Kepler-622,,0.84,Hydrogen,Kepler-622,S
Kepler-623,,0.68,Hydrogen,Kepler-623,S
Kepler-624,,1.42,Hydrogen,Kepler-624,S
Kepler-625,,0.86,Hydrogen,Kepler-625,S
Kepler-626,,0.89,Hydrogen,Kepler-626,S
Kepler-627,,0.77,Hydrogen,Kepler-627,S
Kepler-629,M2.5 V,0.44,Hydrogen,Kepler-629,S
Kepler-63,M2.5 V,0.44,Hydrogen,Kepler-63,S
Kepler-630,,0.69,Hydrogen,Kepler-630,S
Kepler-631,,1.07,Hydrogen,Kepler-631,S
Kepler-632,,0.8,Hydrogen,Kepler-632,S
Kepler-633,,0.87,Hydrogen,Kepler-633,S
Kepler-634,,0.87,Hydrogen,Kepler-634,S
Kepler-635,,0.75,Hydrogen,Kepler-635,S
Kepler-636,,0.94,Hydrogen,Kepler-636,S
Kepler-637,,0.94,Hydrogen,Kepler-637,S
Kepler-638,,0.98,Hydrogen,Kepler-638,S
Kepler-639,,0.83,Hydrogen,Kepler-639,S
Kepler-640,,0.83,Hydrogen,Kepler-640,S
Kepler-641,,0.83,Hydrogen,Kepler-641,S
Kepler-642,,0.83,Hydrogen,Kepler-642,S
Kepler-643,,1.19,Hydrogen,Kepler-643,S
Kepler-644,,1.19,Hydrogen,Kepler-644,S
Kepler-645,,0.87,Hydrogen,Kepler-645,S
Kepler-646,,0.87,Hydrogen,Kepler-646,S
Kepler-647,G9 V,0.82,Hydrogen,Kepler-647,S
Kepler-648,G9 V,0.82,Hydrogen,Kepler-648,S
Kepler-649,,0.91,Hydrogen,Kepler-649,S
Kepler-65,,0.91,Hydrogen,Kepler-65,S
Kepler-650,,1.28,Hydrogen,Kepler-650,S
Kepler-651,,0.99,Hydrogen,Kepler-651,S
Kepler-652,,0.91,Hydrogen,Kepler-652,S
Kepler-653,,1.54,Hydrogen,Kepler-653,S
Kepler-654,,0.76,Hydrogen,Kepler-654,S
Kepler-655,,0.76,Hydrogen,Kepler-655,S
Kepler-656,,0.76,Hydrogen,Kepler-656,S
Kepler-657,,0.68,Hydrogen,Kepler-657,S
Kepler-658,,0.79,Hydrogen,Kepler-658,S
Kepler-659,,0.88,Hydrogen,Kepler-659,S
Kepler-66,,0.88,Hydrogen,Kepler-66,S
Kepler-660,,,Hydrogen,Kepler-660,S
Kepler-661,,0.91,Hydrogen,Kepler-661,S
Kepler-662,,0.77,Hydrogen,Kepler-662,S
Kepler-663,,1.25,Hydrogen,Kepler-663,S
Kepler-664,,1.08,Hydrogen,Kepler-664,S
Kepler-665,,0.76,Hydrogen,Kepler-665,S
Kepler-666,,0.93,Hydrogen,Kepler-666,S
Kepler-667,,0.87,Hydrogen,Kepler-667,S
Kepler-668,,0.71,Hydrogen,Kepler-668,S
Kepler-669,M0.0,0.65,Hydrogen,Kepler-669,S
Kepler-67,M0.0,0.65,Hydrogen,Kepler-67,S
Kepler-670,,0.89,Hydrogen,Kepler-670,S
Kepler-671,,0.82,Hydrogen,Kepler-671,S
Kepler-672,,0.65,Hydrogen,Kepler-672,S
Kepler-673,,1.2,Hydrogen,Kepler-673,S
Kepler-674,,1.27,Hydrogen,Kepler-674,S
Kepler-675,,0.97,Hydrogen,Kepler-675,S
Kepler-676,K5 V,0.72,Hydrogen,Kepler-676,S
Kepler-677,,1.33,Hydrogen,Kepler-677,S
Kepler-678,,1.01,Hydrogen,Kepler-678,S
Kepler-679,,1.19,Hydrogen,Kepler-679,S
Kepler-68,,1.19,Hydrogen,Kepler-68,S
Kepler-680,,0.95,Hydrogen,Kepler-680,S
Kepler-681,,1.12,Hydrogen,Kepler-681,S
Kepler-682,,1,Hydrogen,Kepler-682,S
Kepler-683,,1,Hydrogen,Kepler-683,S
Kepler-684,,0.84,Hydrogen,Kepler-684,S
Kepler-685,,0.84,Hydrogen,Kepler-685,S
Kepler-686,,1.7,Hydrogen,Kepler-686,S
Kepler-687,,0.91,Hydrogen,Kepler-687,S
Kepler-688,,0.89,Hydrogen,Kepler-688,S
Kepler-689,,0.65,Hydrogen,Kepler-689,S
Kepler-69,G9,0.79,Hydrogen,Kepler-69,S
Kepler-690,,1.39,Hydrogen,Kepler-690,S
Kepler-691,,0.95,Hydrogen,Kepler-691,S
Kepler-692,,1.16,Hydrogen,Kepler-692,S
Kepler-693,K3,0.71,Hydrogen,Kepler-693,S
Kepler-694,K3,0.71,Hydrogen,Kepler-694,S
Kepler-695,K3,0.71,Hydrogen,Kepler-695,S
Kepler-696,,1.26,Hydrogen,Kepler-696,S
Kepler-697,G2 V,1.59,Hydrogen,Kepler-697,S
Kepler-698,M3.0 V,0.36,Hydrogen,Kepler-698,S
Kepler-7,M3.0 V,0.36,Hydrogen,Kepler-7,S
Kepler-700,M3.0 V,0.36,Hydrogen,Kepler-700,S
Kepler-701,G9 V,1.16,Hydrogen,Kepler-701,S
Kepler-702,G9 V,1.16,Hydrogen,Kepler-702,S
Kepler-703,M0.5 V,0.54,Hydrogen,Kepler-703,S
Kepler-704,M0.5 V,0.54,Hydrogen,Kepler-704,S
Kepler-705,,0.75,Hydrogen,Kepler-705,S
Kepler-707,,0.37,Hydrogen,Kepler-707,S
Kepler-708,,1.39,Hydrogen,Kepler-708,S
Kepler-709,,1.39,Hydrogen,Kepler-709,S
Kepler-710,,0.92,Hydrogen,Kepler-710,S
Kepler-711,,1.25,Hydrogen,Kepler-711,S
Kepler-712,,0.94,Hydrogen,Kepler-712,S
Kepler-713,,0.69,Hydrogen,Kepler-713,S
Kepler-714,,0.92,Hydrogen,Kepler-714,S
Kepler-715,,1.57,Hydrogen,Kepler-715,S
Kepler-716,M4.5 V,0.29,Hydrogen,Kepler-716,S
Kepler-717,,0.49,Hydrogen,Kepler-717,S
Kepler-718,,0.82,Hydrogen,Kepler-718,S
Kepler-719,,1.1,Hydrogen,Kepler-719,S
Kepler-720,,0.67,Hydrogen,Kepler-720,S
Kepler-721,,0.67,Hydrogen,Kepler-721,S
Kepler-722,,0.69,Hydrogen,Kepler-722,S
Kepler-723,,1.31,Hydrogen,Kepler-723,S
Kepler-724,,1.13,Hydrogen,Kepler-724,S
Kepler-725,M1.0 V,0.52,Hydrogen,Kepler-725,S
Kepler-726,,1.69,Hydrogen,Kepler-726,S
Kepler-727,,1.67,Hydrogen,Kepler-727,S
Kepler-728,G9 V,0.85,Hydrogen,Kepler-728,S
Kepler-729,M2.5 V,0.47,Hydrogen,Kepler-729,S
Kepler-730,M2.5 V,0.47,Hydrogen,Kepler-730,S
Kepler-731,,0.7,Hydrogen,Kepler-731,S
Kepler-732,,0.7,Hydrogen,Kepler-732,S
Kepler-733,,0.7,Hydrogen,Kepler-733,S
Kepler-734,,0.78,Hydrogen,Kepler-734,S
Kepler-735,,0.78,Hydrogen,Kepler-735,S
Kepler-736,,0.78,Hydrogen,Kepler-736,S
Kepler-737,,0.78,Hydrogen,Kepler-737,S
Kepler-738,,0.78,Hydrogen,Kepler-738,S
Kepler-739,,1.45,Hydrogen,Kepler-739,S
Kepler-74,,0.86,Hydrogen,Kepler-74,S
Kepler-740,,0.77,Hydrogen,Kepler-740,S
Kepler-741,,0.77,Hydrogen,Kepler-741,S
Kepler-742,,0.99,Hydrogen,Kepler-742,S
Kepler-743,,0.83,Hydrogen,Kepler-743,S
Kepler-744,,0.85,Hydrogen,Kepler-744,S
Kepler-745,,0.7,Hydrogen,Kepler-745,S
Kepler-746,,0.69,Hydrogen,Kepler-746,S
Kepler-747,,0.69,Hydrogen,Kepler-747,S
Kepler-748,,0.85,Hydrogen,Kepler-748,S
Kepler-749,,0.97,Hydrogen,Kepler-749,S
Kepler-75,,1.61,Hydrogen,Kepler-75,S
Kepler-750,,0.86,Hydrogen,Kepler-750,S
Kepler-751,,1.28,Hydrogen,Kepler-751,S
Kepler-752,,0.76,Hydrogen,Kepler-752,S
Kepler-753,,1,Hydrogen,Kepler-753,S
Kepler-754,,0.82,Hydrogen,Kepler-754,S
Kepler-755,,0.61,Hydrogen,Kepler-755,S
Kepler-756,K2 V,0.79,Hydrogen,Kepler-756,S
Kepler-757,K2 V,0.79,Hydrogen,Kepler-757,S
Kepler-758,K2 V,0.79,Hydrogen,Kepler-758,S
Kepler-759,,1.03,Hydrogen,Kepler-759,S
Kepler-76,G7 V,0.86,Hydrogen,Kepler-76,S
Kepler-760,,1.51,Hydrogen,Kepler-760,S
Kepler-761,,0.9,Hydrogen,Kepler-761,S
Kepler-762,G3 V,1.09,Hydrogen,Kepler-762,S
Kepler-763,,0.95,Hydrogen,Kepler-763,S
Kepler-764,M V,0.55,Hydrogen,Kepler-764,S
Kepler-765,M V,0.55,Hydrogen,Kepler-765,S
Kepler-766,M V,0.55,Hydrogen,Kepler-766,S
Kepler-767,G6 V,0.84,Hydrogen,Kepler-767,S
Kepler-768,,1.24,Hydrogen,Kepler-768,S
Kepler-769,G7 V,0.78,Hydrogen,Kepler-769,S
Kepler-77,M(3.5+/-0.5) V,0.2,Hydrogen,Kepler-77,S
Kepler-770,,0.38,Hydrogen,Kepler-770,S
Kepler-771,,0.55,Hydrogen,Kepler-771,S
Kepler-772,,0.9,Hydrogen,Kepler-772,S
Kepler-773,G9 V,0.86,Hydrogen,Kepler-773,S
Kepler-774,G9 V,0.86,Hydrogen,Kepler-774,S
Kepler-775,G9 V,0.86,Hydrogen,Kepler-775,S
Kepler-776,G9 V,0.86,Hydrogen,Kepler-776,S
Kepler-777,,0.3,Hydrogen,Kepler-777,S
Kepler-778,,0.58,Hydrogen,Kepler-778,S
Kepler-779,,0.6,Hydrogen,Kepler-779,S
Kepler-78,,0.55,Hydrogen,Kepler-78,S
Kepler-780,,0.51,Hydrogen,Kepler-780,S
Kepler-781,,0.3,Hydrogen,Kepler-781,S
Kepler-782,,0.69,Hydrogen,Kepler-782,S
Kepler-783,,0.89,Hydrogen,Kepler-783,S
Kepler-784,,1.5,Hydrogen,Kepler-784,S
Kepler-785,,1.06,Hydrogen,Kepler-785,S
Kepler-786,,0.28,Hydrogen,Kepler-786,S
Kepler-787,,1.22,Hydrogen,Kepler-787,S
Kepler-788,,1.49,Hydrogen,Kepler-788,S
Kepler-789,,1.33,Hydrogen,Kepler-789,S
Kepler-79,,0.8,Hydrogen,Kepler-79,S
Kepler-790,F,1.42,Hydrogen,Kepler-790,S
Kepler-791,,1.13,Hydrogen,Kepler-791,S
Kepler-792,,1.16,Hydrogen,Kepler-792,S
Kepler-793,,1.09,Hydrogen,Kepler-793,S
Kepler-794,,0.46,Hydrogen,Kepler-794,S
Kepler-795,,0.46,Hydrogen,Kepler-795,S
Kepler-796,,0.49,Hydrogen,Kepler-796,S
Kepler-797,,0.52,Hydrogen,Kepler-797,S
Kepler-798,,0.7,Hydrogen,Kepler-798,S
Kepler-799,,0.63,Hydrogen,Kepler-799,S
Kepler-8,,0.85,Hydrogen,Kepler-8,S
Kepler-80,,0.49,Hydrogen,Kepler-80,S
Kepler-800,,0.95,Hydrogen,Kepler-800,S
Kepler-801,,0.95,Hydrogen,Kepler-801,S
Kepler-802,,0.95,Hydrogen,Kepler-802,S
Kepler-803,,0.99,Hydrogen,Kepler-803,S
Kepler-804,,0.41,Hydrogen,Kepler-804,S
Kepler-805,,0.86,Hydrogen,Kepler-805,S
Kepler-806,,1,Hydrogen,Kepler-806,S
Kepler-808,,0.91,Hydrogen,Kepler-808,S
Kepler-809,K2 V,0.72,Hydrogen,Kepler-809,S
Kepler-81,K2 V,0.72,Hydrogen,Kepler-81,S
Kepler-810,,0.94,Hydrogen,Kepler-810,S
Kepler-811,,0.62,Hydrogen,Kepler-811,S
Kepler-812,,0.66,Hydrogen,Kepler-812,S
Kepler-813,,0.66,Hydrogen,Kepler-813,S
Kepler-814,,0.66,Hydrogen,Kepler-814,S
Kepler-815,,0.88,Hydrogen,Kepler-815,S
Kepler-816,G3 V,0.85,Hydrogen,Kepler-816,S
Kepler-817,G3 V,0.85,Hydrogen,Kepler-817,S
Kepler-818,G3 V,0.85,Hydrogen,Kepler-818,S
Kepler-819,G8,0.97,Hydrogen,Kepler-819,S
Kepler-82,,0.74,Hydrogen,Kepler-82,S
Kepler-820,,1.54,Hydrogen,Kepler-820,S
Kepler-821,G1,1.15,Hydrogen,Kepler-821,S
Kepler-822,,0.69,Hydrogen,Kepler-822,S
Kepler-823,,0.73,Hydrogen,Kepler-823,S
Kepler-824,,0.75,Hydrogen,Kepler-824,S
Kepler-825,G2 V,1.14,Hydrogen,Kepler-825,S
Kepler-826,,1.32,Hydrogen,Kepler-826,S
Kepler-827,,0.68,Hydrogen,Kepler-827,S
Kepler-828,,0.68,Hydrogen,Kepler-828,S
Kepler-829,,0.68,Hydrogen,Kepler-829,S
Kepler-83,,0.81,Hydrogen,Kepler-83,S
