Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
HATS-18,G V,1.02,Hydrogen,HATS-18,S
HATS-2,K,0.88,Hydrogen,HATS-2,S
HATS-22,K V,0.69,Hydrogen,HATS-22,S
HATS-23,G V,1.2,Hydrogen,HATS-23,S
HATS-24,F V,1.12,Hydrogen,HATS-24,S
HATS-25,G,1.11,Hydrogen,HATS-25,S
HATS-26,F,2.04,Hydrogen,HATS-26,S
HATS-27,F,1.74,Hydrogen,HATS-27,S
HATS-28,G,0.92,Hydrogen,HATS-28,S
HATS-29,G,1.07,Hydrogen,HATS-29,S
HATS-3,F,1.4,Hydrogen,HATS-3,S
HATS-30,G,1.06,Hydrogen,HATS-30,S
HATS-31,,1.87,Hydrogen,HATS-31,S
HATS-32,,1.1,Hydrogen,HATS-32,S
HATS-33,,1.02,Hydrogen,HATS-33,S
HATS-34,,0.98,Hydrogen,HATS-34,S
HATS-35,,1.43,Hydrogen,HATS-35,S
HATS-36,G0 V,1.1,Hydrogen,HATS-36,S
HATS-37,,0.88,Hydrogen,HATS-37 A,S
HATS-38,,1.1,Hydrogen,HATS-38,S
HATS-39,,1.62,Hydrogen,HATS-39,S
HATS-4,G,0.93,Hydrogen,HATS-4,S
HATS-40,,2.26,Hydrogen,HATS-40,S
HATS-41,,1.71,Hydrogen,HATS-41,S
HATS-42,,1.48,Hydrogen,HATS-42,S
HATS-43,,0.81,Hydrogen,HATS-43,S
HATS-44,,0.85,Hydrogen,HATS-44,S
HATS-45,,1.32,Hydrogen,HATS-45,S
HATS-46,,0.85,Hydrogen,HATS-46,S
HATS-47,,0.66,Hydrogen,HATS-47,S
HATS-48,,0.72,Hydrogen,HATS-48 A,S
HATS-49,,0.7,Hydrogen,HATS-49,S
HATS-5,G,0.87,Hydrogen,HATS-5,S
HATS-50,,1.12,Hydrogen,HATS-50,S
HATS-51,,1.44,Hydrogen,HATS-51,S
HATS-52,,1.05,Hydrogen,HATS-52,S
HATS-53,,1.1,Hydrogen,HATS-53,S
HATS-54,G6 V,1.23,Hydrogen,HATS-54,S
HATS-55,,1.13,Hydrogen,HATS-55,S
HATS-56,,2.2,Hydrogen,HATS-56,S
HATS-57,,0.96,Hydrogen,HATS-57,S
HATS-58,,1.43,Hydrogen,HATS-58 A,S
HATS-59,,1.04,Hydrogen,HATS-59,S
HATS-6,M1 V,0.57,Hydrogen,HATS-6,S
HATS-60,,1.46,Hydrogen,HATS-60,S
HATS-61,,1.66,Hydrogen,HATS-61,S
HATS-62,,0.93,Hydrogen,HATS-62,S
HATS-63,,1.07,Hydrogen,HATS-63,S
HATS-64,,2.11,Hydrogen,HATS-64,S
HATS-65,,1.31,Hydrogen,HATS-65,S
HATS-66,,1.84,Hydrogen,HATS-66,S
HATS-67,,1.44,Hydrogen,HATS-67,S
HATS-68,,1.75,Hydrogen,HATS-68,S
HATS-69,,0.88,Hydrogen,HATS-69,S
HATS-7,K2,0.82,Hydrogen,HATS-7,S
